,닉네임,댓글,날짜
830,ㅇㅇ(106.243),"사회를 지탱하는 큰 역활중 하나가 군대고, 강제건 뭐건 분단국가 인식해서 참고견디는건데 기여도 안하면서 거기서 꿀은 빨고싶다?ㅋㅋㅋ 뭐만하면 국방부에 따지라는 개소리 떠드시는데 회사에서는 군대에서 사회시스템 2년간 경험한 남자들을 부려먹기 편하니까 사회적으로 경력자 취급받아서 우선권을 갖는거에 대해서 불만 갖지 마. '쓰기편해서 선택' 한거를 '차별' 이라고 지껄이는 병신들아.",2018.06.28 10:29:35
831,ㅇㅇ(106.243),"장애인 정책중 하나가 기업에서 고용시 혜택을 주는 '선고용 후혜택' 인데, 여성 할당제 봐라 ㅋㅋㅋㅋ '좀 쓰기 불편한거 강제로' 쓰게한건데 안쪽팔리냐? ""강.제.고.용.동.시.혜.택"" 시스템이 장애인 > 그성별 이라고 인정하는데 쪽팔린줄을 몰라. 당장에 청와대가서 할당제 없애달라고 시위해도 모자랄판에. 장애인 이하로 취급되는걸 당당하게 당연한 권리란다.ㅋㅋㅋㅋㅋㅋ",2018.06.28 10:30:42
832,ㅇㅇ(39.7),지들 잘못 생각안하고 뭐만하면 여자탓읋 돌리는 한남들은 살처분이 답이다.,2018.06.28 11:18:08
833,ㅇㅇ(117.111),ㄴ그 살처분 직접 하라 이기야... 말만 하고 실행은 못 하는 흉자티 내노 익이익이,2018.06.28 11:38:20
834,ㅇㅇ(106.243),뭘잘못했는데? 이유는 없고~ 반박은 못하고~ 부족하고 못난걸 말한건데 탓한거레 아몰랑!!! 빼애액!!! 그냥 뒤지란 말야!!! ㅋㅋㅋㅋㅋ,2018.06.28 11:38:56
835,ㅇㅇ(39.7),만화에 나오는 학교폭력 군대부조리 회사갈굼은 그럼 여자탓이냐?,2018.06.28 11:47:05
836,ㅇㅇ(39.7),지들이 자좆자 하고 왜 여자들한테 지랄하는 부분?,2018.06.28 11:47:33
837,ㅇㅇ(223.39),4748 신기록 가즈아!,2018.06.28 11:54:54
838,ㅇㅇ(106.243),댓글 페이지 뒤로좀 가서 보고 기득권이네 어쩌구 한게 '군대'랑 관련 있으니까 군대 떠벌린건데요? 에이~ 허공에 대고 그랬을라고~ 그리고 저렇게 갈궈놓고 저거 견디면 인정하고 써먹는다니까? (ㅈ같은 부분이긴 한데) 저게 자적자로 보이면 할말 없어요~ 수천개 댓글이 이어지는데 마지막만 보고 뜬금없이 국방부에 지랄하라고 해서 위에 잘~ 써놨으니 그거나 잘 보시구요~,2018.06.28 12:05:31
839,롤 인성겜(175.223),군대가는거  국방부한테 지랄하라라는 논리면 니년들도 왜 여자 임신하고 생리하는지 그딴건 조물주한테나 지랄하세요,2018.06.28 12:23:46
840,ㅇㅇ(106.243),만화에서 처럼 참아서 견디고 인정박고 그래서 얻은 사회적 우선권을 침해하는게 할당제 라구요~ 아~ 이것도 나라에서 정한거니 닥치고 있어야 하나.... 흠터레스팅,2018.06.28 12:24:09
841,ㅇㅇ(1.215),인권추,2018.06.28 12:58:09
842,ㅇㅇㅇ(119.196),ㅆㄱㅊ  - dc App,2018.06.28 13:08:13
843,ㅇㅇ(223.39),양성평등추,2018.06.28 13:08:55
844,ㅇㅇ(115.93),"""그 성별""",2018.06.28 13:37:07
845,ㅇㅇ(112.219),걍 페미니즘 하는 여자들 다 애미애비 다 쳐 뒤진 대가리 우동 들어가있는 딸딸이새끼들인건 알겠당 ㅋㅋ 한녀 운지해라 이기! ㅋㅋ,2018.06.28 15:06:48
846,ㅇㅇ(112.219),페미 돼지년들 니들 좋아하는 503 석방될때 앞에가서 쿵쾅대기나 하지 왜 여기서 이러고있노? 걍 다 운지해라 이기이기 한남 실좇6.9 인정 근데 한녀들 보지는 19미터 ^^,2018.06.28 15:07:30
847,ㅇㅇ(115.21),Feminism is cancer ^^,2018.06.28 15:30:45
848,ㅇㅇ(223.39),남녀평등추,2018.06.28 15:36:35
849,ㅇㅇ(180.65),언냐들 ㅠㅠ 왜캐 화력이 딸려 여시 쭉빵 다 출동이다 이기야..,2018.06.28 16:02:41
850,싼소 ,맞말에 쓰러져 버리네ㅋㅋㅋㅋㅋㅋㅋ  - dc App,2018.06.28 16:24:14
851,ㅇㅇ(61.253),지뢰부분에서 씨발소리가 절로 나왔다,2018.06.28 16:49:51
852,ㅇㅇ(125.191),"외국 포르노 사이트를 가보자. 몸캠, 딜도캠 영상 가장 많은게 한국 여성. => 페미는 한국 여성의 자주적 성적 대상화를 환영합니다",2018.06.28 16:53:39
853,ㅇㅇ(125.191),"ㅈㄴ 특이한게 한국인 아마추어 섹스(남녀같이 찍는 영상) 같은건 아예 없는데 여성이 혼자 찍은 몸캠, 딜도캠 요런건 5조5억개 너무 많아. 즉, 몰카 보다 셀프로 구녕영상 찍어 올리는 한녀들의 셀프 성적대상화가 훨씬 심각한 문제.",2018.06.28 17:04:16
854,ㅇㅇ(58.236),"여혐이 아니고... 여성의 인권은 고도로 정비된 사회에서만 나와요. 조금의 혼란으로도 여성인권은 챙겨주지 않으면 가질수 없는, 배려받는 선물같은것이 되어버린답니다. 제 생각은 아니구요 역사속에서의 여성인권이란 그런것이더라구요. 객관적으로... 그렇더라구요 ㅎㅎ; 그런 현실이 아쉽다면 발버둥 쳐서 쟁취하면 될거같아요. 모든 남성들이 하는것처럼.. 배려라는 이름 아래서 분배받은 할당제권리가 아니고. 노력으로 인한 권리를 취하고 맛보세요. 여성인권이라면서 분배받는 권리가 그게 무슨 인권입니까? 동등하다면서요? 가축도 아니고 뭘 분배받아요? 외국에서 멀쩡히 열심히 하는 페미들이 얼마나 어이없어하는지 아세요? 여성전용 주차장? 장애인 취급 받으니까 좋아요? 여성인권 올린답시고 하는 모든 행위가 남성의 배려라면...",2018.06.28 17:27:25
855,ㅇㅇ(58.236),그냥 꼴랑 목소리만 높게내는 자존심은 좀 죽이고 약자임을 인정하고 배려받으면서 사는게 어떠신지들... 여성의 장점을 이용하지 못하는 페미여러분들. 조용히 사세요.,2018.06.28 17:29:57
856,ㅇㅇ(222.105),불쌍추,2018.06.28 18:26:53
857,빠이오오(211.200),광광울었다,2018.06.28 18:28:23
858,ㅇㅇ ,"본문 보면서 순간 찡해졌다. 댓글 개판은 거르고 정말 잘 봤다. 나이 먹으면 먹을 수록 자기 어깨에 걸려있는 무게를 실감하는데 이 무게가 얼마나 무거운지 매봐야 알게 되더라. 할아버지, 아버지가 다 매오시던 건데.. 진짜 너무 무겁다. 잘 보고 간다.",2018.06.28 19:11:22
859,ㅇㅇ ,"여자들도 여자 나름대로 고충이 있겠지만 제발 남성 꼰대들 보고 이분법적 사고를 안 했으면 한다. 여자 꼰대들도 엄청 많다. 그냥 이기적인 발상밖에 못하는 꼰대가 문제인 거지, 그걸 성별로 가를 필요가 있나 싶다.",2018.06.28 19:12:53
860,ㅇㅇ ,아무튼 말이 길어졌는데 대한민국이든 어디든 이 세상에 태어난 남자들 힘내자.,2018.06.28 19:13:25
861,장나라의개 ,ㄴ  - dc App,2018.06.28 19:40:00
862,ㅇㅇ(117.111),한국여자 = 참피 - dc App,2018.06.28 19:53:31
863,ㅇㅇ(223.39),공감추,2018.06.28 20:16:28
864,ㅇㅇ(58.123),여 혐오 자연스럽지,2018.06.28 20:42:07
865,ㅇㅇ(223.39),<허스토리> 보고 와서 추,2018.06.28 21:43:14
866,ㅇㅇ(39.7),한남추: 한남들 존나 추함,2018.06.28 21:53:01
867,ㅇㅇ(175.215),남자들은 지금까지 여자들이 졸라 인상 편하게 산다고ㅠ생각했는데 오히려 지들이 힘들다 ㅈㄹ 하니 ㅋㅋ. 좆같지 ㅋㅋ,2018.06.28 22:58:06
868,ㅇㅇ(121.137),보는내내 찡하네. 대한민국 아버지들은 정말 위대한분들이지  - dc App,2018.06.29 00:05:23
869,ㅇㅇ(223.39),자정추,2018.06.29 00:24:58
870,ㅇㅇ(211.195),아 근데 지금 30대 20대후반 인생 존나 잘그려둠...진심으로...하  - dc App,2018.06.29 00:39:59
871,ㅇㅇ(123.108),여자들은 평생 이해하지 못하지.. 이번 세종시 화재에서.. 동료 소방관에게 산소호흡기를 건네는 소방관의 얼굴을 봤냐?? 물론 여자들은 그런 얼굴을 보면 쾌감을 느낀다.. 하지만 남자들은 연민을 느낀다.,2018.06.29 03:05:30
872,ㅇㅇ(123.108),크게 호들깝 떨면서 나가지마라.. 이것 하나만으로 충분하다. 세상의 반절을 지우고 그 사람들을 분노로 몰아세우고 증오를 키우는 사람들이 혁명?? 혁신??  ㅋㅋㅋ 에휴..,2018.06.29 03:06:20
873,메퇘지(39.7),꿀꿀꿀 꽤에에엑!!! 컹컹컹!!  - dc App,2018.06.29 09:34:17
874,메퇘지(39.7),저는 뇌가 지방으로 이루어져있는 메퇘지입니다.위에 댓글들은 지방으로 쓴 것들 입니다.분란을 일으켜서 죄송합니다.  - dc App,2018.06.29 09:35:28
875,ㅇㅇ(59.28),한녀 = 참피 맞는듯 ㅇㅇ,2018.06.29 10:02:00
876,d(125.191),"페미년 특징. 머리가 짧다, 화장을 안한다. 돼지다. 채용 면접할 때 잘 보고 걸러라. 자칫 너네 회사와 팀이 페미나치 한 마리로 ㅈ되는 수가 있다.",2018.06.29 10:57:55
877,ㅇㅇ(223.39),4956 앗사좋구나,2018.06.29 13:42:22
878,ㅇㅇ(59.1),한남새끼들 지들이 남자라서 받은 특혜는 생각도 못하고 괜히 여자탓하네ㅋㅋㅋㅋㅋㅋ,2018.06.29 14:37:17
879,ㅇㅇ(202.150),여자탓안하는데 지들이 말을 그따위로 하니까 욕처머는걸 이해를 못하네ㅋㅋ 이게 여자탓하는 만화임?,2018.06.29 14:58:08
880,약코사절 ,와우 여기 댓글에 대체 몇 마리의 쿵쾅이가 사냥당한 거야 정독하고 왔더니 개지리내,2018.06.29 15:07:12
881,ㅇㅇ(106.243),"59.1 또왔어요~ 그 특혜라고 생각되는거 만화처럼 견디고 참아서 ""인정받아"" 얻은거야~ 사회를 지탱하는 큰 역활중 하나가 군대고, ㅈ같아도 분단국가라 참고견디는건데 기여도 안하면서 거기서 꿀빠는게 누군데 ㅋㅋㅋ  군대에서 사회시스템 2년간 경험한 남자들을 부려먹기 편하니까 사회적으로 경력자 취급받아서 우선권을 갖는거에 대해서 불만 갖지 마. '쓰기편해서 선택' 받은걸 ''특혜""라고 지껄이는 병신아",2018.06.29 15:14:38
882,ㅇㅇ(106.243),"59.1 진정한 ""특혜""는 고용후에 혜택을 주는 '선고용 후혜택' 장애인 정책보다 더 강력한 강.제.고.용.동.시.혜.택 ""할당제"" 병신아. 사회 시스템이 장애인 > 그성별 이라고 인정하는데 쪽팔린줄을 몰라. 당장에 청와대가서 할당제 없애달라고 시위해도 모자랄판에. 장애인 이하로 취급되는걸 당당하게 당연한 권리라고 하는데 머가리 어디다 팔아먹으셨어요~ 만화에서 처럼 참아서 견디고 그래서 인정받아 얻은 사회적 우선권을 침해하는게 할당제(특혜) 라구요~",2018.06.29 15:18:28
883,ㅇㅇ(106.243),"59.1 면접볼때 비슷한 성적에 다들 노력하고 준수한 외모면 당연히 군필뽑지. 기업이 미쳤다고 호봉+2 주는걸 일부러 뽑냐? 그돈 줄만큼 쓸모 있고 쓰기편하다니까? 선택적 사항이 특혜로 보여? 그럼 가서 운동하고 근력키워서 군대가세요~ 혜화역 25000명 모일정도면 헌법 갈아치울 수 있어요~ 장애인 > 그성별 취급하는 ""할당제"" 도 없애구요~ 아우 쪽팔려",2018.06.29 15:22:53
884,ㅇㅇㅇㅇㅇㅇㅇ(211.36),자적자 산증인 만화네ㅋㅋㅋㅋㅋ 자적자는 과학이지,2018.06.29 16:20:32
885,ㅇㅇ(106.243),ㄴ 만화처럼 저렇게 갈궈놓고 저거 견디면 인정하고 알아주고 사회에서 아-주 -잘 써준다니까? 갈구고 팽당해야 자적자지. 사회도태/그성별/애새끼(미필) 중 하나네,2018.06.29 16:43:01
886,ㅇㅇㅇ(182.229),어디서 쿵쾅거리는 소리 안들리냐?ㅋㅋㅋ,2018.06.29 16:49:56
887,ㅇㅇㅇ(123.108),여기 무슨 애새끼들 처 패고 군대에서 고생한거 자랑하는 만화같냐? 여자들이 들어와서 헛소리 해대니까 군대나 가라는 말이 나오는거지. 어차피 이제는 애새끼들 남고라고 패지도 않고. 군대도 정말로 많이 좋아졌다. 남자들이 여자들 처럼 너도 당했어? 야나두! 이딴 소리를 하는게 아니다.,2018.06.29 17:22:12
888,미니만쥬 ,우주명작추. 디씨에서 1년에 한번 나올까말까한 띵작이다,2018.06.29 17:41:00
889,미니만쥬 ,감동,2018.06.29 17:41:57
890,ㅇㅇ(222.112),제가 여러번 말하지만 2030 조선년에 정신병자가 많은 이유는 오냐오냐 교육받고 군대까지 안가서 그렇습니다,2018.06.29 17:53:38
891,ㅇㅇ(222.112),참고) 여성징병 하나로 인구절벽으로 인한 군인부족과 여기 댓글에 많이보이는 피싸개들 정신병 치료까지 해결. 일석이조,2018.06.29 17:55:30
892,ㅇㅇ(223.39),눈물추 & 3500플 겥,2018.06.29 18:40:02
893,ㅋ(125.191),"sns에서 1k ~ 10k의 호응을 얻어내던 페미니스트 스타 최지혜! 알고보니 페미놀이중이던 남성. 그 충격에 쿵쾅이들 ""최지혜를 페미로 인정하지 않았다"" <- 이렇게 입을 맞추자 이기야. ㅋㅋ",2018.06.29 19:29:28
894,ㅇ(125.191),지적인 여성은 알아서 대접받고 사는데 쿵쾅이들 그게 부러워서 인터넷에서 여성 아이돌 봊나 욕하면서 웅엥웅. 머리밀자! 살을 감추지말자! 겨드랑이 털을 기르자! ㅋㅋ,2018.06.29 19:35:33
895,ㅇㅇ(223.39),5011추! 5000추 돌파!,2018.06.29 20:43:15
896,dd(125.191),"중국인들 인신매매/장기적출 표적 1위가 여성이라더라. 대낮 길 한복판에서 가족, 친척인 것 처럼해서 납치하는데 그런거 보더라도 도와주지마라. 고마워하긴 커녕 손이라도 잡으면 미투당하고 성폭행범으로 몰린다. 괜한 선의는 남성의 인생을 망친다. 장기적출 납치이건 아니건 걍 신경끄고 니 갈길을 가라.",2018.06.29 21:59:32
897,ㅇㅇ(211.216),동감추,2018.06.29 23:41:28
898,ㅇㅇ(124.50),ㅠㅠ 의인 이현수씨를 위하여 건배,2018.06.30 00:31:26
899,ㅇㅇ(211.216),토요일추,2018.06.30 00:43:56
900,ㅇㅇ(114.206),ㅋㅋㅋㅋㅋㅋㅋ돈받으면서 일하는거니까 죽어도 된다는 꼴페미들~~ 니새끼들도 일하다 뒤져봐라~~,2018.06.26 20:41:20
901,ㅇㅇ(27.35),ㅋㅋㅋㅋ돈받고 죽었으니까 뒤져도 닥치고있겠지,2020.07.08 13:46:02
902,ㅇㅇ(202.150),정말 페미년들은 인간이길 포기하자고 하는 년들이구나... 하긴 니들이 뭐 명예니 이런걸 알았으면 그러고 살고 있겠니.. 말시작부터 끝까지 분노랑 욕말고는 하는 말이 없는 애들인데... 참 불쌍한 애들이다 너희는 정말로,2018.06.26 20:42:07
903,ㅇㅇ(128.199),돈 안받고 키워준 애비도 죽이려는 애들이니 뭐...,2018.06.26 20:42:54
904,ㅇㅇ(39.7),범죄자9할이 남자라고? 피싸개 또선동 주작하노 경찰청통계에 7할인데? 보지는 3할이고?? ㅋㅋㅋㅋㅋ,2018.06.26 20:45:07
905,ㅇㅇ(128.199),범죄자 9할이라고 ㄹㅇ 그 와중에 또 거짓말까지 하는거 봐라... 야.. 진짜 여자들은 사람이냐???,2018.06.26 20:46:19
906,ㅇㅇ(39.7),피해자비율은 남여 5:5  ㅇㅇ 븅신같은 피싸개들은 주작이아니면 말을 못하노,2018.06.26 20:46:23
907,ㅇㅇ(128.199),여자욕 안하려고 해도 니들이 하는 짓을 좀 봐라..,2018.06.26 20:46:30
908,ㅇㅇ(192.81),돈받고 일하니까 적당히. 경찰도 군인도 소방관도 직업이라는 생각만 한다면 정말로 몸바쳐서 누군가를 위할 의무 자체가 없지.. 그런 사람들만 있었으면 인류가 존속하지 못했겠지... 제발 자기가 무슨 말은 하는지 정도는 자각이라도 해라...,2018.06.26 20:50:22
909,ㅇㅇ(211.247),페미는 그냥 반사회적인격장애임,2018.06.26 20:55:40
910,ㅇㅇ(128.199),누구는 비겁하게 개떼로 모여서 누군가를 저주하고 증오한걸 자랑하고. 누군가는 묵묵히 건설현장에서 땀을 흘린다... 누군가는 유독가스 있는 현장에서 화재를 진압한다... 누군가는 남을 증오하고 저주하는 말만 하는 순간에도 누군가는 누군가를 죽인 범죄자. 누군가에게 위해를 가한 범죄자를 잡는다.,2018.06.26 21:01:21
911,ㅇㅇ(128.199),"누군가는 자신을 저주하는 말을 소리치는  이들을 보호하기 위해서 현장을 묵묵히 지킨다.. 그래. 인류는 이렇게 사회를 이루고 왔지.. 이걸 선, 악이라고 이름을 붙이면서 굳이 구분을 한것이겠지. 그게 의미가 있으니까... 정말로 비교된다 비교돼..",2018.06.26 21:01:33
912,ㅇㅇ(219.255),ㅋㅋㄱㅋ ㅅㅂ 자칭 위대한 '여자' 타칭 존경받고 실재로 '명예롭고 위대한'  소방관 ㅋㅋㅋ,2018.06.26 21:28:24
913,dd(112.212),"아-주 전형적인 결과론자들이 넘처나네요. 모두 그성별 분들이죠? 결혼적령기까지 군대 때문에 남자 < 여자 돈 더 많이 벌구요. 치안 세계 3위 대한민국에 범죄자는 대부분 약자에게 가해지는데 남성-> 여성 -> 아동, 여성 -> 아동 이렇게 됩니다. 그런데 남성의 경우 아동보다 여성이 더 접촉이 많기 때문에 여성에 대한 범행이 많아지는거구요. 그게 혐오로보이면 여성-> 아동 이거 아동혐오 인정하면 됩니다. 일을 적게하거나 능력부족으로 월급을 적게 받는걸 ""남여임금에 차별이 있다"" 는 결과수치만 보고 차별이라고 떠드는 꼴 웃기구요.",2018.06.26 21:54:46
914,dd(112.212),"군대는 작은 사회죠, 모르겠으면 군대 가시구요. 이미 2년동안 그안에서 사회적 시스템을 보고, 실제로 같은 남성들도 그걸 겪은 사람을 선호하게 되어 있습니다. 왜냐면 ""부려먹기 편하다"" 거든요, 만화보고 자적자라고 하는데ㅋㅋㅋ 웃음만 나옵니다. 사회에 나와 볼까요? 그사람들 눈치만 줘도 부려먹기 편합니다. 여성분들 억울하죠? 저도 이부분 인정합니다. 그러니 ""사병으로 군대 다녀오세요"" 그거 맘데로 안된다구요? 헌법소원을 내던하지 그러세요? 혜화역 25000명 모일 정도의 파워면 될것 같은데.",2018.06.26 21:54:52
915,dd(112.212),그 군대 2년간 겪는 부저리는 여성 징병으로 채우려 하지 마시고 국방부에게 따지시라고요^^ <- 뭐만하면 이딴 개소리 떠드시는데 그니까 사회시스템 겪은 경험자 남자들이 사회적으로 우선권을 갖는거에 대해서 불만 갖지 마세요~  사회를 지탱하는 큰 역활에 기여도 안하면서 거기서 꿀은 빨고싶다?ㅋㅋㅋㅋ  병신이 아닌이상 경험자를 더 선호할 수 밖에 없겠죠?,2018.06.26 21:54:51
916,dd(112.212),"100원 이윤에도 미친듯이 반응하는 기업체에서 군필자 호봉 +2 를 미쳤다고 합니까? 군말없이 출장가고 잔업하고 네~ 이거 참 ㅈ같은 기업적 악습 행태인데, 기업입장에서는 그게 필요하고 그걸로 이윤을 보기 때문에 시키죠. 그거 남자들 군소리 없이 합니다. 써먹기 편하잖아요? 이거 이해가 안돼요? 군필 한남 쓰기 편하다구요~ 쓰기 편한걸 쓰고 좀 불편한걸 안쓰는 ""선택적"" 사항을 차별이라고 하는건 무슨 논리입니까?",2018.06.26 21:55:00
917,dd(112.212),자 그래서 어떻게 되었나요? 나라에서 야 늬들 사정은 알겠는데 이제좀 살만 하지 않냐? 여기 조금 쓰기 불편한거 있는데 좀 써라 <- 이게!!! 바로!!! 할당제!!! 입니다. 얼마나 많은걸 사회와 기업과 남성들이 양보했는지 모르겠다구요? 댁들이 가장 쪽팔려야 할게 할당제 입니다. 타파해야할게 할당제죠. ㅈㄴ 쪽팔리잖아요. 다른것보다 쓸모가 없는데 나라에서 까라니 울며 겨자먹기로 기업에서까고 있는건데. 까라니 깐거라 어라? 이거 군대 아닌가요? 이해 안되요? 그럼 군대가시면 됩니다.,2018.06.26 21:55:00
918,ㅇㅇ(218.155),피싸개는 쳐패야 제맛,2018.06.26 21:55:48
919,ㅇㅇ(123.108),도대체 페미니스트는 누구를 위한 페미니즘이냐??? 당연히 여자를 위한 페미니즘이지?? 오늘 이 비오는 날씨에 건물을 만들기 위해 죽은.. 심지어 이름조차도 안나오는 2명과 그리고 그런 화재를 진압하기 위해 노력했던 이들... 그들을 기리는 그런 만화다.,2018.06.26 23:33:13
920,ㅇㅇ(123.108),너희 페미니스트가 분노를 말할때. 남자들은 의무와 규율을 말한다. 남성만을 위한 의무와 규율이 아니다.. 인류를 위한 규율과 의무다. 인류를 위한 규칙이다.. 그걸 말한게 죄라면 ... 나도 모르겠다 정말로.. 페미니스트는 약자를 위한 사상가라고  '자칭' 하지 않나?? 그 약자가 남자라면 아무래도 좋은건가??,2018.06.26 23:34:08
921,ㅇㅇ(123.108),부끄러운줄 알아라... 오늘 죽은 2명의 남성동지야... 우리는 안다. 니가 노력했던 누군가의 아들. 형제. 그리고 아버지였음을.. 너는 정말로 자랑스러운 인생을 살았다. 잘가라 전우야. 내 한잔을 받아라.,2018.06.26 23:34:48
922,ㅇㅇㅇ(123.108),잘가라 전우야.. 진짜로 잘가라 ㅜㅜㅜ 우리는 알고 기억한다. 너같은 수많은 이들이 이곳에 있었음을.. ㅜㅜㅜ,2018.06.26 23:36:48
923,ㅇㅇㅇ(128.199),페미니스트는 알아둬라. 인류는 스스로 정한 규칙과 규범과 규율이라는 누군가에 의한 강요가 아닌. 스스로를 방어하기 위한 '갑옷'이라는 은유로서 가상의 존재를 스스로 필요에 의해서 쓰고 만들어서 여기까지 왔다. 그것이 오로지 남성의 전유물이라고 생각된다면 떠나라.. 법이고 규칙이고 규율이고 그것을 너희에게 강요하는 사람은 아무도 없다.,2018.06.26 23:41:08
924,ㅇㅇㅇ(128.199),대신 그 결과는 너희 스스로 받아들여라. 사회와 남자탓을 하지마라. 그건 정말로 비겁한거다 정말로...,2018.06.26 23:41:33
925,ㅇㅇㅇ(178.62),정말로 세종시의 노동자와 소방관들은 자랑스러운 남성이 아니라 인간이었다... 그건 남자들은 안다. 물론 여자들은 모른다. 남자니까.. 그래도 우리가 안다.. 그런 사람들이 있어서 여기까지왔다. 그게 인류다.. ㅜㅜㅜㅜㅜ 잘가십쇼. 세상의 의인들...,2018.06.26 23:42:59
926,ㅇㅇ(123.108),잘가라 전우야... 잘가라.. ㅜㅜㅜ,2018.06.26 23:44:05
927,ㅇㅇ(46.101),잘가라... 정말로.... 잘가.. 여자들이 모른다고 섭섭해 하지마라. 너희가 있었음을 아는 세상이 반절이다. 여자는 모른다. 그래도 우리가 안다. 잘가라... 잘가라...,2018.06.26 23:48:02
928,ㅇㅇ(162.243),우리가 안다. 니가 넋이라도 있으면 긍지를 가져라 너는 정말로 멋진새끼들이었다.,2018.06.26 23:54:56
929,ㅇㅇ(104.236),공사현장에서 죽은 남자 2명은 정말로 멋진 누군가의 아들 형제 그리고 아버지였다. 남자라면 공감한다 정말로.. 잘가라. 부디 다음생이 있다면... 한국에는 태어나지 말자. 여자가 아니면 너희같은 이름모를 사람들이 모두 벌레취급 받는 이곳이 지옥이다. 너희는 행복하다. 적어도 그런곳에 있지 않으니까. 잘가라 전우야. 잘가라. 정말로..,2018.06.26 23:55:55
930,ㅇㅇ(123.108),내생에는 정말로 한국에는 태어나지말자. 아무것도 가진것 없어도 좃달고 태어났다는 이유 하나만으로 쓰레기 취급 받는 이곳이 지옥이다. 적어도 이곳을 떠나서 너희들은 행복하다. 이 순간을 살아가는 이름모를 전우들에게 내 한잔 바친다.,2018.06.26 23:57:10
931,잠쉬드 ,잘가라 전우야. 너는 입으로 용기를 떠드는 놈들과는 달랐다. 몸으로 묵묵하게 그렇게 살았다. 우리는 너희가 자랑스럽다. 이 순간을 공유헀던 같은 삶이라는 갑옷을 입었던 전우로서.. 잘가라.. 내생에는 한국에는 태어나지 마라,2018.06.26 23:58:49
932,ㅇㅇㅇ(146.185),잘가라 병신들아.. 부디 내생이 있으면 한국에는 태어나지마라 그렇게 병신같게 살면서 그렇게 죽어서 에휴 불쌍한 병신새끼들 ㅉㅉ ㅜㅜㅜ 잘가.,2018.06.27 00:02:19
933,ㅇㅇ(211.213),아 안중근 윤봉길의사도 그저 한남이라고 욕하고 625때 북괴들한테 나라지키려 희생하는 군인분들에게 쌍욕박고 자기 지켜주는 경찰도 한남이라 욕박고 멀리가지않아 자신을 위해서 묵묵히 일하시는 아버지들에게도 욕박고ㅠㅠ,2018.06.27 00:04:30
934,ㅇㅇ(211.213),진짜 차별받고 자라오신 어머니들한테 단지 자녀의 안위를 위해 그만두어라 라고 말해도 쌍욕박고..,2018.06.27 00:07:11
935,ㅇㅇ(123.108),잘가라 이 멋진새끼들아.. 만냑에 다시 태어나면 적어도 좀 더 나은 곳에서 태어나라 꼭 지구가 아니라도.. 멋진새끼들.. 불쌍한 놈들.. ㅜㅜㅜ,2018.06.27 00:08:21
936,ㅇㅇ(211.213),먹을게없어 막댓 먹으러 오는 돼지들에게 욕박힐게 뻔하지만,2018.06.27 00:08:39
937,ㅇㅇ(211.213),꼴페미들은 제발 열심히 살고있는 여성들 욕좀 먹이지말자 여성인권생각한다는 작자들이 어머니 욕하고 흉자라고 욕하고 이제 제 인생이야기하는 할머니한테 욕박을거같다,2018.06.27 00:10:57
938,ㅇㅇ(128.199),잘가라.. 아마 너희 어머니가 계시다면 너희 아내가 있다면. 너희를 꿈에서라도 보고 싶어하실거다. 너희가 양심이 있으면. 그 사람들의 꿈에서라도 마지막으로 나타나라.. 그게 마지막 너희가 이 땅에서 태어난 자지로서의 양심이다.,2018.06.27 00:12:40
939,ㅇㅇ(128.199),어차피 이곳에서 말해본들 너희에게는 닿지도 않겠지만.. 너희는 정말로 가치있는 삶을 살았다.. 잘가라. 잘가라.. 이 멋진새끼들...,2018.06.27 00:13:01
940,ㅇㅇ(175.117),아 보릉내 시발,2018.06.27 00:16:10
941,ㅇㅇ(123.108),잘가세요 .. 멍청하게 그렇게 평생을 살다가 간 사람들.. 당신들을 자랑스럽게 여기는 남자들이 여기 있으니까.. ㅜㅜ 에휴... 여기 나오는 사람들 말고도. 당신들을 알면 남자라면 그 누구라도 자랑스럽게 여길 거에요.. 잘가세요.,2018.06.27 00:19:10
942,ㅇㅇ(188.166),죽은이의 삶의 몫은 남은 이들의 몫인데.. 진짜로 야속한건. 죽은 사람은 그렇게 빌고 빌어도.. 절대로 살아있는 사람의 꿈에도 안나타남... ㅋㅋㅋㅋㅋㅋㅋ 야이 나쁜놈들아. 너희가 양심이 있으면. 너희 어머니나 못해도 너희 반려자 . 아내의 꿈에라도 나타나라.. ㄹㅇ로 ㅋㅋㅋㅋ 잘가라... 잘가... 나쁜놈들아 ㅋㅋㅋ,2018.06.27 00:36:40
943,ㅇㅇ(123.108),여자들은 오늘 남자가 2명 죽어서 오히려 기뻐함 ㅋㅋㅋ 물론 그 죽은 사람의 딸과 아내 그리고 어머니를 제외하고. 그래도 우리는 안다. 그 순간에 그렇게 노력했던 이들이 있었음을.. 그렇게 죽어간 이들이 있었음을... 여자들은 그런사람을 증오함. 그래도 세상의 절반. 남자들이라도 그런 사람들에 대해서 안타까워 한다.. 그래도 할 수 있는게 그거라서... 잘가십쇼 어르신들. 전우들.. 잘가세요.,2018.06.27 00:40:36
944,ㅇㅇㅇ(46.101),슬픈 얘기다 정말로.. 단순히 자기가 여자라는 이유로.. 그렇게 자신의 인생에 최선을 다했다는 사람을 증오할 수 있다는 것은... 정말로 슬픈얘기야..,2018.06.27 00:43:17
